report;seed;keyword;volume;cpc;competition;relevance
# Hinweis: Trends-Sparklines und Number-of-Results aus Platzgruenden entfernt; alle Volumen-/CPC-/Competition-Werte verbatim aus Semrush (de, live, 2026-07-03).
phrase_related;pv leads;anfragenfluss;320;9.00;0.10;0.05
phrase_related;pv leads;photovoltaik leads;210;9.78;0.77;0.6
phrase_related;pv leads;anfragenfluss gmbh;110;6.07;0.20;0.1
phrase_related;pv leads;photovoltaik leads kaufen;110;13.81;0.88;0.35
phrase_related;pv leads;pv leads kaufen;90;13.81;0.88;0.35
phrase_related;pv leads;solar leads;90;9.06;0.62;0.15
phrase_related;pv leads;solar lead generation;70;9.06;0.62;0.1
phrase_related;photovoltaik leads kaufen;anfragenfluss;320;9.00;0.10;0.05
phrase_related;photovoltaik leads kaufen;photovoltaik leads;210;9.78;0.77;0.5
phrase_related;photovoltaik leads kaufen;pv leads;170;9.56;0.59;0.35
phrase_related;photovoltaik leads kaufen;anfragenfluss gmbh;110;6.07;0.20;0.05
phrase_related;photovoltaik leads kaufen;daa leads;90;9.94;0.55;0.05
phrase_related;photovoltaik leads kaufen;pv leads kaufen;90;13.81;0.88;0.8
phrase_related;photovoltaik leads kaufen;solar leads;90;9.06;0.62;0.25
phrase_related;photovoltaik leads kaufen;buy solar leads;70;0;0.33;0.1
phrase_related;photovoltaik leads kaufen;solar lead generation;70;9.06;0.62;0.1
phrase_related;leads kaufen;leads;5400;4.9;0.09;0.05
phrase_related;leads kaufen;adressen kaufen;590;8;0.75;0.05
phrase_related;leads kaufen;firmenadressen kaufen;480;7.42;0.46;0.05
phrase_related;leads kaufen;b2b leads;260;8.82;0.54;0.1
phrase_related;leads kaufen;immobilien leads;260;3.99;0.63;0.1
phrase_related;leads kaufen;adressdaten kaufen;210;8;0.75;0.05
phrase_related;leads kaufen;leads sale;210;5.72;0.16;0.1
phrase_related;leads kaufen;b2b adressen;170;7.24;0.45;0.05
phrase_related;leads kaufen;b2b datenbank;170;10.43;0.42;0.05
phrase_related;leads kaufen;b2b leads kaufen;170;8.77;0.62;0.35
phrase_related;leads kaufen;daten kaufen;170;2.93;0.91;0.05
phrase_related;leads kaufen;datensätze kaufen;170;3.92;0.66;0.05
phrase_related;leads kaufen;immobilien leads kaufen;170;4.47;0.78;0.15
phrase_related;leads kaufen;kaufdirleads;170;0.28;0.28;0.2
phrase_related;leads kaufen;leads for b2b;170;10.83;0.33;0.05
phrase_related;leads kaufen;leads kaufen versicherung;170;3.11;0.84;0.2
phrase_related;leads kaufen;adressen kaufen b2b;140;9.57;0.62;0.05
phrase_related;leads kaufen;b2b adressen kaufen;140;9.37;0.67;0.05
phrase_related;leads kaufen;kaufdirleads gmbh;140;0;0.02;0.1
phrase_related;leads kaufen;leads kaufen immobilien;140;4.47;0.78;0.15
phrase_related;leads kaufen;immobilien leads generieren;110;6.54;0.52;0.1
phrase_related;leads kaufen;kontakte kaufen;110;11.24;0.15;0.05
phrase_related;leads kaufen;leads b2b;110;8.82;0.54;0.1
phrase_related;leads kaufen;leads generieren immobilien;110;3.86;0.34;0.05
phrase_related;leads kaufen;leads immobilienmakler;110;6.21;0.31;0.15
phrase_related;leads kaufen;leads verkaufen;110;3.04;0.51;0.1
phrase_related;leads kaufen;pkv leads;110;3.36;0.72;0.05
phrase_related;leads kaufen;powerleads;110;6.72;0.62;0.05
phrase_related;leads kaufen;adressen b2b;90;7.73;0.59;0.05
phrase_related;leads kaufen;adresslisten kaufen;90;5.91;0.5;0.05
phrase_related;leads kaufen;leads für immobilienmakler;90;7.04;0.83;0.15
phrase_related;leads kaufen;leads immobilien;90;6.21;0.31;0.15
phrase_related;leads kaufen;firmenadressen kaufen erfahrungen;70;6.87;0.22;0.05
phrase_related;leads kaufen;geschäftsadressen kaufen;70;4.06;0.91;0.05
phrase_related;leads kaufen;immobilienmakler leads;70;9.26;0.69;0.1
phrase_related;leads kaufen;lead immobilien;70;6.21;0.31;0.05
phrase_related;leads kaufen;lead listen kaufen;70;8.94;0.31;0.3
phrase_related;leads kaufen;lead-markt;70;2;0.39;0.05
phrase_related;leads kaufen;leads versicherungen;70;2.81;0.74;0.2
phrase_related;leads kaufen;leads versicherungen kaufen;70;2.75;0.72;0.15
phrase_related;leads kaufen;pkv leads kaufen;70;3.78;0.86;0.05
phrase_related;leads kaufen;versicherungsleads kaufen;70;3.62;0.8;0.2
phrase_related;wattfox erfahrungen;wattfox;880;2.79;0.07;0.4
phrase_related;wattfox erfahrungen;checkfox erfahrungen;590;3.13;0.09;0.05
phrase_related;wattfox erfahrungen;checkfox seriös;590;3.24;0.09;0.05
phrase_related;wattfox erfahrungen;121 watt;390;2.17;0.14;0.05
phrase_related;wattfox erfahrungen;photovoltaik angebotsvergleich;320;6.3;0.85;0.1
phrase_related;wattfox erfahrungen;wattfox gmbh;260;3.51;0.04;0.35
phrase_related;wattfox erfahrungen;photovoltaikanlage angebotsvergleich;210;7.41;0.99;0.05
phrase_related;wattfox erfahrungen;checkfox solar;170;6.63;0.88;0.05
phrase_related;wattfox erfahrungen;checkfox erfahrung;110;5.05;0.05;0.05
phrase_related;wattfox erfahrungen;photovoltaik angebotsvergleich seriös;110;5.74;0.97;0.1
phrase_related;wattfox erfahrungen;checkfox photovoltaik seriös;70;4.55;0.93;0.05
phrase_related;wattfox erfahrungen;wir machen watt;70;1.69;0.06;0.05
phrase_related;wärmepumpe vertrieb;deutsche wärmepumpen werke gmbh;480;1.21;0.18;0.05
phrase_related;wärmepumpe vertrieb;photovoltaik vertrieb;140;2.31;0.69;0.05
phrase_related;wärmepumpe vertrieb;deutsche wärmepumpen werke gmbh erfahrungen;110;2.24;0.49;0.05
phrase_related;wärmepumpe vertrieb;dww wärmepumpe;110;3.12;0.67;0.05
phrase_related;wärmepumpe vertrieb;job wärmepumpe;110;0.99;0.37;0.05
phrase_related;wärmepumpe vertrieb;deutsche wärmepumpen werke;90;2.62;0.18;0.05
phrase_related;wärmepumpe vertrieb;rezensionen für deutsche wärmepumpen werke gmbh;90;2.82;0.07;0.05
phrase_related;wärmepumpe vertrieb;wärmepumpen vertrieb;90;2.32;0.77;0.75
phrase_related;wärmepumpe vertrieb;deutsche wärmepumpen werke gmbh rezensionen;70;2.23;0.24;0.05
phrase_fullsearch;solar leads;solar leads;90;9.06;0.62;
phrase_fullsearch;solar leads;buy solar leads;70;0;0.33;
phrase_fullsearch;solar leads;solar lead generation;70;9.06;0.62;
phrase_fullsearch;solar leads;purchase solar leads;30;0;0;
phrase_fullsearch;solar leads;buying solar leads;20;0;0;
phrase_fullsearch;solar leads;solar leads deutschland;20;0;0.86;
phrase_fullsearch;solar leads;solar leads kaufen;20;14.86;0.89;
phrase_fullsearch;solar leads;solar lead;20;0;0.62;
phrase_fullsearch;solar leads;solar installation leads;10;0;1;
phrase_fullsearch;solar leads;solar installer leads;10;0;1;
phrase_fullsearch;solar leads;solar lead generation companies;10;0;0.86;
phrase_fullsearch;solar leads;solar lead generator;10;12.33;0.52;
phrase_fullsearch;solar leads;solar leads for sale;10;0;0;
phrase_fullsearch;solar leads;solar leads generation;10;12.33;0.52;
phrase_fullsearch;solar leads;solar panel lead generation;10;0;0;
phrase_fullsearch;solar leads;solar panel leads;10;0;0;
phrase_fullsearch;solar leads;solar pv leads;10;0;0.71;
phrase_fullsearch;solar leads;(uebrige ~34 Zeilen: englische Physik-/Batterie-/Musik-Keywords ohne DACH-Relevanz, Volumen 0-20);;;;
phrase_fullsearch;photovoltaik leads;photovoltaik leads;210;9.78;0.77;
phrase_fullsearch;photovoltaik leads;photovoltaik leads kaufen;110;13.81;0.88;
phrase_fullsearch;photovoltaik leads;deine photovoltaik leads;20;0;0.33;
phrase_fullsearch;photovoltaik leads;leads für photovoltaik;20;16.25;0.86;
phrase_fullsearch;photovoltaik leads;leads kaufen photovoltaik;20;11.12;0.74;
phrase_fullsearch;photovoltaik leads;leads photovoltaik;20;15.64;0.77;
phrase_fullsearch;photovoltaik leads;leads photovoltaik kaufen;20;15.3;0.71;
phrase_fullsearch;photovoltaik leads;photovoltaik leads generieren;20;14.13;0.92;
phrase_fullsearch;photovoltaik leads;photovoltaik leads kaufen kosten;20;15.96;0.89;
phrase_fullsearch;photovoltaik leads;photovoltaik lead generator;10;0;0;
phrase_fullsearch;photovoltaik leads;exklusive photovoltaik leads;0;0;0;
phrase_fullsearch;photovoltaik leads;photovoltaik leads kosten;0;0;0;
phrase_fullsearch;photovoltaik leads;photovoltaik leads regional;0;0;0;
phrase_fullsearch;photovoltaik leads;photovoltaik leads verkaufen;0;0;0;
phrase_fullsearch;photovoltaik leads;b2b leads photovoltaik;0;0;0;
phrase_fullsearch;photovoltaik leads;warme photovoltaik leads;0;0;0;
phrase_fullsearch;wärmepumpe leads;wärmepumpen leads;90;11.83;0.71;
phrase_fullsearch;wärmepumpe leads;wärmepumpen leads kaufen;20;10.29;0.99;
phrase_fullsearch;wärmepumpe leads;lead portale wärmepumpen;0;0;0;
phrase_fullsearch;wärmepumpe leads;wärmepumpe leads;0;0;0;
phrase_fullsearch;wattfox;wattfox;880;2.79;0.07;
phrase_fullsearch;wattfox;wattfox gmbh;260;3.51;0.04;
phrase_fullsearch;wattfox;wattfox erfahrungen;110;2.41;0.18;
phrase_fullsearch;wattfox;wattfox freiburg;40;0;0.07;
phrase_fullsearch;wattfox;rezensionen für wattfox;30;0;0.03;
phrase_fullsearch;wattfox;wattfox kununu;30;0;0.33;
phrase_fullsearch;wattfox;martin holzwarth wattfox;20;0;0.33;
phrase_fullsearch;wattfox;wattfox berlin;20;2.42;0.21;
phrase_fullsearch;wattfox;wattfox bewertung;20;0;0;
phrase_fullsearch;wattfox;wattfox gehalt;20;0;0.33;
phrase_fullsearch;wattfox;wattfox gmbh bewertung;20;0;0.14;
phrase_fullsearch;wattfox;wattfox gmbh erfahrungen;20;4.1;0.18;
phrase_fullsearch;wattfox;wattfox gmbh freiburg;20;0;0.12;
phrase_fullsearch;wattfox;wattfox gmbh rezensionen;20;0;0.33;
phrase_fullsearch;wattfox;wattfox gmbh seriös;20;0;0.18;
phrase_fullsearch;wattfox;wattfox greifswald;20;1.68;0.14;
phrase_fullsearch;wattfox;wattfox immobilien;20;0.98;0.33;
phrase_fullsearch;wattfox;wattfox jobs;20;0;0.33;
phrase_fullsearch;wattfox;wattfox kosten;20;0.98;0.48;
phrase_fullsearch;wattfox;wattfox leads;20;6;0.73;
phrase_fullsearch;wattfox;wattfox leads erfahrungen;20;10.04;0.44;
phrase_fullsearch;wattfox;wattfox leads kaufen;20;8.03;0.77;
phrase_fullsearch;wattfox;wattfox photovoltaik;20;6.02;0.94;
phrase_fullsearch;wattfox;wattfox seriös;20;0;0.33;
phrase_fullsearch;wattfox;wattfox stiftung warentest;20;1.99;0.16;
phrase_fullsearch;wattfox;wattfox rezensionen;10;0;0;
phrase_fullsearch;wattfox;wattfox yugioh;10;0;0.33;
phrase_fullsearch;aroundhome;aroundhome;8100;0.54;0.37;
phrase_fullsearch;aroundhome;aroundhome erfahrungen;480;0.51;0.12;
phrase_fullsearch;aroundhome;aroundhome erfahrung;320;0.51;0.12;
phrase_fullsearch;aroundhome;aroundhome seriös;260;0.55;0.14;
phrase_fullsearch;aroundhome;aroundhome kosten;170;0.72;0.29;
phrase_fullsearch;aroundhome;aroundhome bewertung;140;0.34;0.11;
phrase_fullsearch;aroundhome;aroundhome login;140;1.11;0.03;
phrase_fullsearch;aroundhome;rezensionen für aroundhome;140;0;0.01;
phrase_fullsearch;aroundhome;aroundhome bewertungen;110;0.34;0.11;
phrase_fullsearch;aroundhome;aroundhome de;70;1.35;0.36;
phrase_fullsearch;aroundhome;aroundhome deutschland;70;0;0;
phrase_fullsearch;aroundhome;aroundhome kosten für handwerker;70;0.92;0.23;
phrase_fullsearch;aroundhome;aroundhome berlin;50;1.15;0.66;
phrase_fullsearch;aroundhome;aroundhome erfahrungen handwerker;50;0.72;0.15;
phrase_fullsearch;aroundhome;aroundhome solaranlage;50;5.19;0.33;
phrase_fullsearch;aroundhome;aroundhome treppenlift;40;9.29;0.9;
phrase_fullsearch;aroundhome;aroundhome webdesign;40;2.79;0.86;
phrase_fullsearch;aroundhome;aroundhome.de;30;1.35;0.36;
phrase_fullsearch;aroundhome;aroundhome affiliate;20;0;0.33;
phrase_fullsearch;aroundhome;aroundhome alternative;20;1.17;0.65;
phrase_fullsearch;aroundhome;aroundhome badezimmer;20;2.11;0.77;
phrase_fullsearch;aroundhome;aroundhome cockpit;20;0;0.33;
phrase_fullsearch;aroundhome;aroundhome de bewertung;20;0;0.57;
phrase_fullsearch;aroundhome;aroundhome de erfahrungen;20;0;0.23;
phrase_fullsearch;aroundhome;aroundhome erfahrungen küche;20;1.79;0.79;
phrase_fullsearch;aroundhome;aroundhome erfahrungen makler;20;0;0.54;
phrase_fullsearch;aroundhome;aroundhome erfahrungsberichte;20;0;0.33;
phrase_fullsearch;aroundhome;aroundhome fassade;20;0;0.86;
phrase_fullsearch;selfmade energy;selfmade energy;480;2.68;0.65;
phrase_fullsearch;selfmade energy;selfmade-energy;50;3.87;0.64;
phrase_fullsearch;selfmade energy;selfmade energy erfahrungen;20;3.8;0.83;
phrase_fullsearch;selfmade energy;selfmade energy solarrechner;20;2.9;0.84;
phrase_fullsearch;selfmade energy;selfmade-energy.com;10;0;0.78;
phrase_fullsearch;selfmade energy;(uebrige 10 Zeilen Volumen 0, ohne Relevanz);;;;
phrase_fullsearch;daa leads;daa leads;90;9.94;0.55;
phrase_fullsearch;daa leads;kontakte leads von daa;0;0;0;
phrase_fullsearch;daa leads;construction daa leads;0;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung;1900;5.81;0.47;
phrase_fullsearch;leadgenerierung;leadgenerierung agentur;880;7.01;0.21;
phrase_fullsearch;leadgenerierung;b2b leadgenerierung;720;12.22;0.21;
phrase_fullsearch;leadgenerierung;b2b leadgenerierung agentur;480;15.09;0.16;
phrase_fullsearch;leadgenerierung;leadgenerierung b2b;480;13.14;0.16;
phrase_fullsearch;leadgenerierung;marketing-plattformen pharma leadgenerierung;320;0;0;
phrase_fullsearch;leadgenerierung;agentur leadgenerierung;170;6.69;0.15;
phrase_fullsearch;leadgenerierung;leadgenerierung b2b agentur;170;0;0.08;
phrase_fullsearch;leadgenerierung;automatisierte leadgenerierung;140;4.31;0.21;
phrase_fullsearch;leadgenerierung;leadgenerierung bedeutung;140;1.07;0.19;
phrase_fullsearch;leadgenerierung;leadgenerierung social media;140;0;0.1;
phrase_fullsearch;leadgenerierung;online leadgenerierung;140;9.5;0.05;
phrase_fullsearch;leadgenerierung;was ist leadgenerierung;140;1.66;0.12;
phrase_fullsearch;leadgenerierung;agentur für leadgenerierung;110;6.51;0.2;
phrase_fullsearch;leadgenerierung;digitale leadgenerierung;110;4.3;0.22;
phrase_fullsearch;leadgenerierung;leadgenerierung b2c;110;4.76;0.57;
phrase_fullsearch;leadgenerierung;leadgenerierung maßnahmen;110;0;0.1;
phrase_fullsearch;leadgenerierung;leadgenerierung online;110;9.5;0.05;
phrase_fullsearch;leadgenerierung;leadgenerierung software;110;8.01;0.29;
phrase_fullsearch;leadgenerierung;b2b leadgenerierung hamburg;90;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung definition;90;0.86;0.09;
phrase_fullsearch;leadgenerierung;leadgenerierung immobilien;90;0;0.11;
phrase_fullsearch;leadgenerierung;leadgenerierung marketing;90;8.31;0.37;
phrase_fullsearch;leadgenerierung;leadgenerierung online marketing;90;0;0.04;
phrase_fullsearch;leadgenerierung;leadgenerierung strategie;90;0;0.02;
phrase_fullsearch;leadgenerierung;leadgenerierung was ist das;90;2.02;0.29;
phrase_fullsearch;leadgenerierung;leadgenerierung webagentur;90;0;0;
phrase_fullsearch;leadgenerierung;agentur leadgenerierung b2b;70;15.55;0.33;
phrase_fullsearch;leadgenerierung;facebook leadgenerierung;70;0;0.33;
phrase_fullsearch;leadgenerierung;google ads leadgenerierung;70;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung dienstleister;70;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung dsgvo;70;0;0.29;
phrase_fullsearch;leadgenerierung;leadgenerierung facebook;70;0;0.71;
phrase_fullsearch;leadgenerierung;leadgenerierung immobilienmakler;70;6.41;0.71;
phrase_fullsearch;leadgenerierung;leadgenerierung linkedin;70;4.66;0.14;
phrase_fullsearch;leadgenerierung;leadgenerierung mit ki;70;7.05;0.65;
phrase_fullsearch;leadgenerierung;leadgenerierung münchen;70;0;0.67;
phrase_fullsearch;leadgenerierung;leadgenerierung photovoltaik;70;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung tool;70;5.51;0.5;
phrase_fullsearch;leadgenerierung;leadgenerierung tools;70;10.19;0.16;
phrase_fullsearch;leadgenerierung;leadgenerierung vertrieb;70;0;0.05;
phrase_fullsearch;leadgenerierung;b2b leadgenerierung berater;50;0;0.33;
phrase_fullsearch;leadgenerierung;leadgenerierung agentur b2b;50;8.19;0.37;
phrase_fullsearch;leadgenerierung;leadgenerierung agentur industrie;50;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung b2b online;50;0;0;
phrase_fullsearch;leadgenerierung;leadgenerierung makler;50;0;0;
phrase_fullsearch;leadgenerierung;leadinfo leadgenerierung;50;0;0;
phrase_fullsearch;leadgenerierung;seo leadgenerierung;50;0;0;
phrase_fullsearch;leadgenerierung;b2b-leadgenerierung;40;15.55;0.33;
phrase_fullsearch;leadgenerierung;dienstleister für leadgenerierung;40;0;0.24;
phrase_fullsearch;kunden gewinnen;kunden gewinnen;1000;5.09;0.31;
phrase_fullsearch;kunden gewinnen;neue kunden gewinnen;480;3.85;0.31;
phrase_fullsearch;kunden gewinnen;online kunden gewinnen;320;9.66;0.11;
phrase_fullsearch;kunden gewinnen;kunden für sich gewinnen;170;4.66;0.43;
phrase_fullsearch;kunden gewinnen;mehr kunden gewinnen;170;5.92;0.54;
phrase_fullsearch;kunden gewinnen;b2b kunden gewinnen;140;8.46;0.6;
phrase_fullsearch;kunden gewinnen;kunden neu gewinnen;140;3.85;0.31;
phrase_fullsearch;kunden gewinnen;maßnahme um kunden zu gewinnen;110;2.94;0.4;
phrase_fullsearch;kunden gewinnen;kunden gewinnen im internet;90;0;0.33;
phrase_fullsearch;kunden gewinnen;kunden online gewinnen;90;8.12;0.68;
phrase_fullsearch;kunden gewinnen;als dienstleister kunden gewinnen;70;3.22;0.82;
phrase_fullsearch;kunden gewinnen;kunden gewinnen handwerk;70;4.92;0.92;
phrase_fullsearch;kunden gewinnen;kunden gewinnung;70;5.09;0.31;
phrase_fullsearch;kunden gewinnen;wie gewinne ich kunden;70;3.6;0.55;
phrase_fullsearch;kunden gewinnen;immobilienmakler kunden gewinnen;50;2.56;0.86;
phrase_fullsearch;kunden gewinnen;kunden gewinnen versicherung;50;2.65;0.69;
phrase_fullsearch;kunden gewinnen;vertrieb kunden gewinnen;40;5.02;0.66;
phrase_fullsearch;kunden gewinnen;(uebrige Zeilen 30-90 Vol: branchenfremde Varianten friseur/nagelstudio/kfz/zeitarbeit etc.);;;;
phrase_fullsearch;solar marketing;(alle 20 Zeilen: englische Marktforschungs-Keywords 'solar inverter market' etc., keine DACH-Marketing-Keywords);;;;
phrase_fullsearch;photovoltaik marketing;photovoltaik marketing;70;5.75;0.25;
phrase_fullsearch;photovoltaik marketing;(uebrige 19 Zeilen: englische Marktforschungs-Keywords ohne Relevanz);;;;
phrase_fullsearch;checkfox;checkfox service gmbh;3600;0;0.03;
phrase_fullsearch;checkfox;checkfox;1900;4.34;0.33;
phrase_fullsearch;checkfox;checkfox erfahrungen;590;3.13;0.09;
phrase_fullsearch;checkfox;checkfox seriös;590;3.24;0.09;
phrase_fullsearch;checkfox;checkfox zahnzusatzversicherung;210;3.71;0.79;
phrase_fullsearch;checkfox;checkfox zahnzusatzversicherung erfahrungen;210;2.11;0.8;
phrase_fullsearch;checkfox;checkfox solar;170;6.63;0.88;
phrase_fullsearch;checkfox;checkfox erfahrung;110;5.05;0.05;
phrase_fullsearch;checkfox;checkfox treppenlift;90;4.16;0.83;
phrase_fullsearch;checkfox;checkfox jobs;70;0.89;0.33;
phrase_fullsearch;checkfox;checkfox photovoltaik seriös;70;4.55;0.93;
phrase_fullsearch;checkfox;ist checkfox seriös;70;0;0.33;
phrase_fullsearch;checkfox;checkfox kununu;50;0;0.33;
phrase_fullsearch;checkfox;checkfox wärmepumpe;50;3.49;0.87;
phrase_fullsearch;checkfox;checkfox zahnzusatzversicherung seriös;50;2.89;0.69;
phrase_fullsearch;checkfox;checkfox krankenhauszusatzversicherung;40;3.16;0.86;
phrase_fullsearch;checkfox;was ist checkfox;40;0;0.06;
phrase_fullsearch;checkfox;checkfox photovoltaik;30;3.76;0.82;
phrase_fullsearch;checkfox;checkfox arbeitgeber erfahrungen;20;0;0.33;
phrase_fullsearch;checkfox;checkfox bewertung;20;0;0.33;
